Transaction Date,Transaction Type,Sort Code,Account Number,Transaction Description,Debit Amount,Credit Amount,Balance,
31/01/2017,FPI,'00-00-00,12345678,SALARY,,1000,1002.21
31/01/2017,DD,'00-00-00,12345678,DIRECT DEBIT 1,87.33,,1000.15
31/01/2017,DD,'00-00-00,12345678,MOBILE PHONE.,6,,1234.48
30/01/2017,DEB,'00-00-00,12345678,PAYPAL *ORIGIN.COM,14.99,,0
30/01/2017,DEB,'00-00-00,12345678,International Debit Card Purchase Fee,1,,1234.54
30/01/2017,DEB,'00-00-00,12345678,International Debit Card Transaction Fee,0.08,,3981.45
30/01/2017,SO,'00-00-00,12345678,RENT,700,,3266.91
04/01/2017,DD,'00-00-00,12345678,BILLS,177.02,,4874.96
03/01/2017,DEB,'00-00-00,12345678,TESCO STORES,34.65,,9051.98
03/01/2017,DEB,'00-00-00,12345678,Amazon UK Marketpl,11.76,,10086.63
03/01/2017,DEB,'00-00-00,12345678,NINTENDO OF EUROPE,8.99,,1098.39
03/01/2017,DEB,'00-00-00,12345678,WWW.JUST EAT.CO.UK,16,,4107.38
03/01/2017,DD,'00-00-00,12345678,BILLS,87.33,,1123.38
